,breed,summary,image,conservation_status,kingdom,phylum,order,family,binomial_name
10,Brant (goose),"The brant, or brent goose (Branta bernicla), is a species of goose of the genus Branta. The black brant is a pacific North American subspecies.
The Brent System, a major oilfield, was named after the species.

",https://upload.wikimedia.org/wikipedia/commons/7/7d/Brent_Goose.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Branta bernicla
11,Barnacle goose,"The barnacle goose (Branta leucopsis) belongs to the genus Branta of black geese, which contains species with largely black plumage, distinguishing them from the grey Anser species. Despite its superficial similarity to the brant goose, genetic analysis has shown it is an eastern derivative of the cackling goose lineage.",https://upload.wikimedia.org/wikipedia/commons/f/f5/Barnacle-Goose.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Branta leucopsis
12,Cackling goose,"The cackling goose (Branta hutchinsii) is a North American bird of the genus Branta of black geese, which contains species with largely black plumage, distinguishing them from the grey Anser species.",https://upload.wikimedia.org/wikipedia/commons/b/b4/AleutianCanadaGoose2.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Branta hutchinsii
13,Canada goose,"The Canada goose (Branta canadensis) is a large wild goose species with a black head and neck, white cheeks, white under its chin, and a brown body. Native to arctic and temperate regions of North America, its migration occasionally reaches northern Europe. It has been introduced to the United Kingdom, New Zealand, Argentina, Chile, and the Falkland Islands. Like most geese, the Canada goose is primarily herbivorous and normally migratory; it tends to be found on or close to fresh water.
Extremely successful at living in human-altered areas, Canada geese have proven able to establish breeding colonies in urban and cultivated areas, which provide food and few natural predators. The success of this common park species has led to its often being considered a pest species because of its depredation of crops and its noise, droppings, aggressive territorial behavior, and habit of begging for food (caused by human hand feeding).",https://upload.wikimedia.org/wikipedia/commons/4/40/Canada_goose_on_Seedskadee_NWR_%2827826185489%29.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Branta canadensis
14,Mute swan,"The mute swan (Cygnus olor) is a species of swan and a member of the waterfowl family Anatidae. It is native to much of Eurasia, and (as a rare winter visitor) the far north of Africa. It is an introduced species in North America, Australasia and southern Africa. The name 'mute' derives from it being less vocal than other swan species. Measuring 125 to 170 cm (49 to 67 in) in length, this large swan is wholly white in plumage with an orange beak bordered with black. It is recognisable by its pronounced knob atop the beak, which is larger in males.",https://upload.wikimedia.org/wikipedia/commons/3/35/Mute_swan_Vrhnika.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Cygnus olor
15,Trumpeter swan,"The trumpeter swan (Cygnus buccinator) is a species of swan found in North America. The heaviest living bird native to North America, it is also the largest extant species of waterfowl with a wingspan that may exceed 10 ft (3.0 m). It is the American counterpart and a close relative of the whooper swan (Cygnus cygnus) of Eurasia, and even has been considered the same species by some authorities. By 1933, fewer than 70 wild trumpeters were known to exist, and extinction seemed imminent, until aerial surveys discovered a Pacific population of several thousand trumpeters around Alaska's Copper River. Careful reintroductions by wildlife agencies and the Trumpeter Swan Society gradually restored the North American wild population to over 46,000 birds by 2010.",https://upload.wikimedia.org/wikipedia/commons/d/d8/Trumpeter_swans_in_winter.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Cygnus buccinator
16,Tundra swan,"The tundra swan (Cygnus columbianus) is a small Holarctic swan. The two taxa within it are usually regarded as conspecific, but are also sometimes split into two species: Bewick's swan (Cygnus bewickii) of the Palaearctic and the whistling swan (C. columbianus) proper of the Nearctic. Birds from eastern Russia (roughly east of the Taimyr Peninsula) are sometimes separated as the subspecies C. c. jankowskii, but this is not widely accepted as distinct, with most authors including them in C. c. bewickii. Tundra swans are sometimes separated in the subgenus Olor together with the other Arctic swan species.
Bewick's swan was named in 1830 by William Yarrell after the engraver Thomas Bewick, who specialised in illustrations of birds and animals. Cygnus is the Latin for ""swan"", and  columbianus comes from the Columbia River, the type locality.",https://upload.wikimedia.org/wikipedia/commons/4/4a/Cygnus_bewickii_01.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Cygnus columbianus
17,Whooper swan,"The whooper swan (Cygnus cygnus), also as the common swan, pronounced hooper swan, is a large Northern Hemisphere swan. It is the Eurasian counterpart of the North American trumpeter swan, and the type species for the genus Cygnus. Francis Willughby and John Ray's Ornithology of 1676 referred to this swan as ""the Elk, Hooper, or wild Swan"". The scientific name is from cygnus, the Latin for ""swan"".",https://upload.wikimedia.org/wikipedia/commons/1/1c/Cygnus_cygnus_Singschwan.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Cygnus cygnus
18,Ruddy shelduck,"The ruddy shelduck (Tadorna ferruginea), known in India as the Brahminy duck, is a member of the family Anatidae. It is a distinctive waterfowl, 58 to 70 cm (23 to 28 in) in length with a wingspan of 110 to 135 cm (43 to 53 in). It has orange-brown body plumage with a paler head, while the tail and the flight feathers in the wings are black, contrasting with the white wing-coverts. It is a migratory bird, wintering in the Indian subcontinent and breeding in southeastern Europe and central Asia, though there are small resident populations in North Africa. It has a loud honking call.
The ruddy shelduck mostly inhabits inland water-bodies such as lakes, reservoirs and rivers. The male and female form a lasting pair bond and the nest may be well away from water, in a crevice or hole in a cliff, tree or similar site. A clutch of about eight eggs is laid and is incubated solely by the female for about four weeks. The young are cared for by both parents and fledge about eight weeks after hatching.
In central and eastern Asia, populations are steady or rising, but in Europe they are generally in decline. Altogether, the birds have a wide range and large total population, and the International Union for Conservation of Nature has assessed their conservation status as being of ""least concern"".",https://upload.wikimedia.org/wikipedia/commons/d/d0/A_couple_of_Tadorna_ferruginea.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Tadorna ferruginea
19,Common shelduck,"The common shelduck (Tadorna tadorna) is a waterfowl species of the shelduck genus, Tadorna. It is widespread and common in Eurasia, mainly breeding in temperate and wintering in subtropical regions; in winter, it can also be found in the Maghreb. Its scientific name comes from the French name Tadorne for this species. It may originally derive from Celtic roots meaning ""pied waterfowl"", essentially the same as the English ""shelduck"".Fossil bones from Dorkovo (Bulgaria) described as Balcanas pliocaenica may actually belong to this species. More likely, they are an extinct species of Tadorna (if not a distinct genus) due to their Early Pliocene age; the present species is not unequivocally attested from the fossil record until some 2–3 million years later (Late Pliocene/Early Pleistocene).",https://upload.wikimedia.org/wikipedia/commons/e/ea/Common_Shelduck_%28Tadorna_tadorna%29_at_Sylvan_Heights.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Tadorna tadorna
20,Wood duck,The wood duck or Carolina duck (Aix sponsa) is a species of perching duck found in North America. It is one of the most colorful North American waterfowl.,https://upload.wikimedia.org/wikipedia/commons/d/d3/Wood_Duck_%28Aix_sponsa%29%2C_Parc_du_Rouge-Clo%C3%AEtre%2C_Brussels.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Aix sponsa
21,Baikal teal,"The Baikal teal (Sibirionetta formosa), also called the bimaculate duck or squawk duck, is a dabbling duck that breeds in eastern Russia and winters in East Asia.",https://upload.wikimedia.org/wikipedia/commons/2/21/Anas.formosa.4.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Sibirionetta formosa
22,Garganey,"The garganey (Spatula querquedula) is a small dabbling duck. It breeds in much of Europe and western Asia, but is strictly migratory, with the entire population moving to southern Africa, India (in particular Santragachi), Bangladesh (in the natural reservoirs of Sylhet district) and Australasia in winter, where large flocks can occur. This species was first described by Linnaeus in 1758. Like other small ducks such as the common teal, this species rises easily from the water with a fast twisting wader-like flight.
Their breeding habitat is grassland adjacent to shallow marshes and steppe lakes.",https://upload.wikimedia.org/wikipedia/commons/a/a9/Garganey_%28Anas_querquedula%29_RWD3.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Spatula querquedula
23,Blue-winged teal,"The blue-winged teal (Spatula discors) is a species of bird in the duck, goose, and swan family Anatidae. One of the smaller members of the dabbling duck group, it occurs in North America, where it breeds from southern Alaska to Nova Scotia, and south to northern Texas. It winters along the Pacific and Atlantic coasts and south into the Caribbean islands and Central America.",https://upload.wikimedia.org/wikipedia/commons/6/65/Blue-Winged_Teal.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Spatula discors
24,Cinnamon teal,"The cinnamon teal (Spatula cyanoptera) is a species of duck found in western North and South America. It is a small dabbling duck, with bright reddish plumage on the male and duller brown plumage on the female. It lives in marshes and ponds, and feeds mostly on plants.",https://upload.wikimedia.org/wikipedia/commons/5/5c/Sarcelle_cannelle.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Spatula cyanoptera
25,Northern shoveler,"The northern shoveler (; Spatula clypeata), known simply in Britain as the shoveler, is a common and widespread duck. It breeds in northern areas of Europe and Asia and across most of North America, wintering in southern Europe, Africa, the Indian subcontinent, Southeast Asia, and Central, and northern South America. It is a rare vagrant to Australia. In North America, it breeds along the southern edge of Hudson Bay and west of this body of water, and as far south as the Great Lakes west to Colorado, Nevada, and Oregon.The Northern shoveler is one of the species to which the Agreement on the Conservation of African-Eurasian Migratory Waterbirds (AEWA) applies. The conservation status of this bird is Least Concern.",https://upload.wikimedia.org/wikipedia/commons/a/a7/Northern_shoveler_Steve_Sinclair_outreach_use_only_%2819838806616%29.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Spatula clypeata
26,Gadwall,The gadwall (Mareca strepera) is a common and widespread dabbling duck in the family Anatidae.,https://upload.wikimedia.org/wikipedia/commons/9/9a/Gadwall-Anas-strepera.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Mareca strepera
27,Falcated duck,The falcated duck or falcated teal (Mareca falcata) is a gadwall-sized dabbling duck from Asia.,https://upload.wikimedia.org/wikipedia/commons/6/62/Falcated_duck_1.jpg,Near Threatened,Animalia,Chordata,Anseriformes,Anatidae,Mareca falcata
28,Eurasian wigeon,"The Eurasian wigeon, also known as widgeon (Mareca penelope) is one of three species of wigeon in the dabbling duck genus Mareca. It is common and widespread within its range.",https://upload.wikimedia.org/wikipedia/commons/5/53/Mareca_penelope_kuribo_cropped.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Mareca penelope
29,American wigeon,"The American wigeon (Mareca americana), also called a baldpate, is a species of dabbling duck found in North America. Formerly assigned to Anas, this species is classified with the other wigeons in the dabbling duck genus Mareca. It is the New World counterpart of the Eurasian wigeon. Mareca is from the Brazilian-Portuguese word Marréco for a small duck and americana refers to America.

",https://upload.wikimedia.org/wikipedia/commons/b/b5/Anas_americana_-_drake.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Mareca americana
30,Mallard,"The mallard ( or ) (Anas platyrhynchos) is a dabbling duck that breeds throughout the temperate and subtropical Americas, Eurasia, and North Africa and has been introduced to New Zealand, Australia, Peru, Brazil, Uruguay, Argentina, Chile, Colombia, the Falkland Islands, and South Africa. This duck belongs to the subfamily Anatinae of the waterfowl family Anatidae. The male birds (drakes) have a glossy green head and are grey on their wings and belly, while the females (hens or ducks) have mainly brown-speckled plumage. Both sexes have an area of white-bordered black or iridescent blue feathers called a speculum on their wings; males especially tend to have blue speculum feathers. The mallard is 50–65 cm (20–26 in) long, of which the body makes up around two-thirds the length. The wingspan is 81–98 cm (32–39 in) and the bill is 4.4 to 6.1 cm (1.7 to 2.4 in) long. It is often slightly heavier than most other dabbling ducks, weighing 0.72–1.58 kg (1.6–3.5 lb). Mallards live in wetlands, eat water plants and small animals, and are social animals preferring to congregate in groups or flocks of varying sizes. This species is the main ancestor of most breeds of domesticated ducks.
The female lays eight to 13 creamy white to greenish-buff spotless eggs, on alternate days. Incubation takes 27 to 28 days and fledging takes 50 to 60 days. The ducklings are precocial and fully capable of swimming as soon as they hatch.
The mallard is considered to be a species of least concern by the International Union for Conservation of Nature (IUCN). Unlike many waterfowl, mallards are considered an invasive species in some regions. It is a very adaptable species, being able to live and even thrive in urban areas which may have supported more localised, sensitive species of waterfowl before development. The non-migratory mallard interbreeds with indigenous wild ducks of closely related species through genetic pollution by producing fertile offspring. Complete hybridisation of various species of wild duck gene pools could result in the extinction of many indigenous waterfowl. The wild mallard is the ancestor of most domestic ducks, and its naturally evolved wild gene pool gets genetically polluted by the domesticated and feral mallard populations.",https://upload.wikimedia.org/wikipedia/commons/b/bf/Anas_platyrhynchos_male_female_quadrat.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Anas platyrhynchos
31,American black duck,"The American black duck (Anas rubripes) is a large dabbling duck in the family Anatidae. It was described by William Brewster in 1902. It is the heaviest species in the genus Anas, weighing 720–1,640 g (1.59–3.62 lb) on average and measuring 54–59 cm (21–23 in) in length with a 88–95 cm (35–37 in) wingspan. It somewhat resembles the female mallard in coloration, but has a darker plumage. The male and female are generally similar in appearance, but the male's bill is yellow while the female's is dull green with dark marks on the upper mandible. It is native to eastern North America. During the breeding season, it is usually found in coastal and freshwater wetlands from Saskatchewan to the Atlantic in Canada and the Great Lakes and the Adirondacks in the United States. It is a partially migratory species, mostly wintering in the east-central United States, especially in coastal areas.
It interbreeds regularly and extensively with the mallard, to which it is closely related. The female lays six to fourteen oval eggs, which have smooth shells and come in varied shades of white and buff green. Hatching takes 30 days on average. Incubation usually takes 25 to 26 days, with both sexes sharing duties, although the male usually defends the territory until the female reaches the middle of her incubation period. It takes about six weeks to fledge. Once the eggs hatch, the hen leads the brood to rearing areas with abundant invertebrates and vegetation.
The American black duck is considered to be a species of least concern by the International Union for Conservation of Nature (IUCN). It has long been valued as a game bird. Habitat loss due to drainage, global warming, filling of wetlands due to urbanization and rising sea levels are major reasons for the declining population of the American black duck. The United States Fish and Wildlife Service has been purchasing and managing the habitat of this species in many areas to support the migratory stopover, wintering and breeding populations. The Atlantic Coast Joint Venture also protects habitat through restoration and land acquisition projects, mostly within their wintering and breeding areas.",https://upload.wikimedia.org/wikipedia/commons/c/c7/Blackduck.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Anas rubripes
32,Mottled duck,"The mottled duck (Anas fulvigula) or mottled mallard is a medium-sized dabbling duck. It is intermediate in appearance between the female mallard and the American black duck. It is closely related to those species, and is sometimes considered a subspecies of the former, but this is inappropriate (see systematics).
There are two distinct populations of mottled ducks. One population, A. fulvigula maculosa (mottled duck), lives on the Gulf of Mexico coast between Alabama and Tamaulipas (Mexico); outside the breeding season individual birds may venture as far south as to Veracruz. The other, A. fulvigula fulvigula (Florida duck), is resident in central and south Florida and occasionally strays north to Georgia. The same disjunct distribution pattern was also historically found in the local sandhill cranes.
Along the Gulf of Mexico coast, the mottled duck is one of the most frequently banded waterfowl. This is due in part to the fact that it is mostly non-migratory. Approximately one out of every twenty mottled ducks is banded, making it an extremely prized and sought after bird among hunters.",https://upload.wikimedia.org/wikipedia/commons/1/1e/Florida_Mottled_Ducks.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Anas fulvigula
33,Northern pintail,"The pintail or northern pintail (Anas acuta) is a duck with wide geographic distribution that breeds in the northern areas of Europe, Asia and North America. It is migratory and winters south of its breeding range to the equator. Unusually for a bird with such a large range, it has no geographical subspecies if the possibly conspecific duck Eaton's pintail is considered to be a separate species.
This is a large duck, and the male's long central tail feathers give rise to the species' English and scientific names. Both sexes have blue-grey bills and grey legs and feet. The drake is more striking, having a thin white stripe running from the back of its chocolate-coloured head down its neck to its mostly white undercarriage. The drake also has attractive grey, brown, and black patterning on its back and sides. The hen's plumage is more subtle and subdued, with drab brown feathers similar to those of other female dabbling ducks. Hens make a coarse quack and the drakes a flute-like whistle.
The northern pintail is a bird of open wetlands which nests on the ground, often some distance from water. It feeds by dabbling for plant food and adds small invertebrates to its diet during the nesting season. It is highly gregarious when not breeding, forming large mixed flocks with other species of duck. This duck's population is affected by predators, parasites and avian diseases. Human activities, such as agriculture, hunting and fishing, have also had a significant impact on numbers. Nevertheless, owing to the huge range and large population of this species, it is not threatened globally.

",https://upload.wikimedia.org/wikipedia/commons/0/0b/Northern_Pintails_%28Male_%26_Female%29_I_IMG_0911.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Anas acuta
34,Green-winged teal,"The green-winged teal (Anas carolinensis or Anas crecca carolinensis) is a common and widespread duck that breeds in the northern areas of North America except on the Aleutian Islands. It was considered conspecific with the common teal (A. crecca) for some time but the issue is still being reviewed by the American Ornithological Society; based on this the IUCN and BirdLife International do not accept it as a separate species at present. However, nearly all other authorities consider it distinct based on behavioral, morphological, and molecular evidence. The scientific name is from Latin Anas, ""duck"" and carolinensis, ""of Carolina"".This dabbling duck is strongly migratory and winters far south of its breeding range. It is highly gregarious outside of the breeding season and will form large flocks. In flight, the fast, twisting flocks resemble waders.
This is the smallest North American dabbling duck. The breeding male has grey flanks and back, with a yellow rear end and a white-edged green speculum, obvious in flight or at rest. It has a chestnut head with a green eye patch. It is distinguished from drake common teals (the Eurasian relative of this bird) by a vertical white stripe on side of breast, the lack of both a horizontal white scapular stripe and the lack of thin buff lines on its head.
The females are light brown, with plumage much like a female mallard. They can be distinguished from most ducks on size, shape, and the speculum. Separation from female common teal is problematic.
In non-breeding (eclipse) plumage, the drake looks more like the female.
It is a common duck of sheltered wetlands, such as taiga bogs, and usually feeds by dabbling for plant food or grazing. It nests on the ground, near water and under cover. While its conservation status is not evaluated by IUCN at present due to non-recognition of the taxon, it is plentiful enough to make it a species of Least Concern if it were; it is far more plentiful than the common teal. It can be seen in vast numbers in the Marismas Nacionales of western Mexico, a main wintering area.
This is a noisy species. The male has a clear whistle, whereas the female has a feeble quack.",https://upload.wikimedia.org/wikipedia/commons/0/07/Green-winged_Teal%2C_Port_Aransas%2C_Texas.jpg,,Animalia,Chordata,Anseriformes,Anatidae,Anas carolinensis
35,Canvasback,"The canvasback (Aythya valisineria) is a species of diving duck, the largest found in North America.",https://upload.wikimedia.org/wikipedia/commons/e/e1/Aythya_valisineria_at_Las_Gallinas_Wildlife_Ponds.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Aythya valisineria
36,Redhead (bird),"The redhead (Aythya americana) is a medium-sized diving duck. The scientific name is derived from Greek aithuia an unidentified seabird mentioned by authors including Hesychius and Aristotle, and Latin americana, of America. The redhead is 37 cm (15 in) long with an 84 cm (33 in) wingspan. It belongs to the genus Aythya, together with 11 other described species. The redhead and the common pochard form a sister group which together is sister to the canvasback.The redhead goes by many names, including the red-headed duck and the red-headed pochard.  This waterfowl is easily distinguished from other ducks by the male’s copper coloured head and bright blue bill during the breeding season.",https://upload.wikimedia.org/wikipedia/commons/0/0b/Redhead_duck_%28Aythya_americana%2C_male%29.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Aythya americana
37,Ring-necked duck,"The ring-necked duck (Aythya collaris) is a diving duck from North America commonly found in freshwater ponds and lakes. The scientific name is derived from Greek  aithuia an unidentified seabird mentioned by authors including  Hesychius and Aristotle, and Latin  collaris, ""of the neck"" from collum, ""neck"".",https://upload.wikimedia.org/wikipedia/commons/9/9a/Aythya-collaris-001.jpg,Least Concern,Animalia,Chordata,Anseriformes,Anatidae,Aythya collaris
