,breed,summary,image,other_names,nicknames,origin,weight,height,coat,color,lifespan
20,American Bulldog,"The American Bulldog is a large breed of utility dog descended from the now-extinct Old English Bulldog. They are now used on animal farms, dog sports, and for showing. They are part of American culture and history, and may be used as a cultural icon for the United States. They are generally represented as being strong and tough.

",https://upload.wikimedia.org/wikipedia/commons/6/67/Faithfullbull_Spike_of_Mightybull.jpg,Southern White<br />White English<br />Old Southern White Bulldog<br />Hill Bulldog<br />Country Bulldog<br />English White<br />Bulldog,,United States,{{convert|34|-|52|kg|lb|abbr|=|on}} ; <br/>Bully type: {{convert|36.2|-|56.7|kg|lb|abbr|=|on}} ;,{{convert|50|-|65|cm|in|abbr|=|on}},"Short, harsh","All white or white with patches of red or varying degrees of brown, brindle, or fawn.",10–15 years
21,American Cocker Spaniel,"The American Cocker Spaniel is a breed of sporting dog. It is a spaniel type dog that is closely related to the English Cocker Spaniel; the two breeds diverged during the 20th century due to differing breed standards in America and the UK. In the United States, the breed is usually called the Cocker Spaniel, while elsewhere in the world, it is called the American Cocker Spaniel in order to differentiate between it and its English cousin, which was already known as ""Cocker Spaniel"" before the American variety was created. The word cocker is commonly held to stem from their use to hunt woodcock in England, while spaniel is thought to be derived from the type's origins in Spain.
The first spaniel in America came across with the Mayflower in 1620, but it was not until 1878 that the first Cocker Spaniel was registered with the American Kennel Club (AKC). A national breed club was set up three years later and the dog considered to be the father of the modern breed, Ch. Obo II, was born around this time. By the 1920s the English and American varieties of Cocker had become noticeably different and in 1946 the AKC recognised the English type as a separate breed. It was not until 1970 that The Kennel Club in the UK recognised the American Cocker Spaniel as being separate from the English type. The American Cocker was the most popular breed in the United States during the 1940s and 1950s and again during the 1980s, reigning for a total of 18 years. They have also won the best in show title at the Westminster Kennel Club Dog Show on four occasions, and have been linked to the President of the United States on several occasions, with owners including Richard Nixon and Harry S. Truman.  In 2013, the cocker spaniel ranked 29th the American Kennel Club registration statistics of historical comparisons and notable trends.
The breed is the smallest of the sporting dogs recognised by the AKC, and its distinctly shaped head makes it immediately recognisable. In addition, there are some marked differences between it and its English relative. It is a happy breed with average working intelligence, although by being bred to a show standard it is no longer an ideal working dog. Members of the breed suffer from a wide variety of health ailments including problems with their hearts, eyes and ears.

",https://upload.wikimedia.org/wikipedia/commons/2/21/American_Cocker_in_Tallinn_2.JPG,"Cocker Spaniel (in USA), Cocker, Merry Cocker.",,United States,,,"medium-length, thick, long","White, black, brown, tan, grey, red, fawn",
22,American English Coonhound,"The English Coonhound, also referred to as the American English Coonhound (by the American Kennel Club only) or the Redtick Coonhound, is a breed of coonhound that originated in and is typically bred in the Southern United States. It is descended from hunting hounds, especially Foxhounds, brought to America by settlers during the 17th and 18th centuries. The breed's first recognition came from the United Kennel Club in 1905 as the English Fox and Coonhound. Further recognition has been granted in recent years by the American Kennel Club, first in the Foundation Stock Service and in 2011 as a fully recognized member of the hound group.
The breed is of medium height and proportionate weight, and their coats come predominantly in three types: redtick, bluetick, and a tricolor tick pattern. The English Coonhound has a high prey drive and, while it is typically used in 'coon hunting', it is also skilled in treeing. This breed is generally a healthy one, but it is recommended that prospective owners learn to recognize symptoms of bloat, as its large size and deep chest put them at risk of this condition.",https://upload.wikimedia.org/wikipedia/commons/2/28/English_Coonhound.jpg,English Coonhound<br>Redtick Coonhound,,[[United States]],In proportion to height,{{convert|22|-|27|in|cm}},Short to medium,,
23,American Eskimo Dog,"The American Eskimo Dog is a breed of companion dog, originating in Germany. The American Eskimo is a member of the Spitz family. The breed's progenitors were German Spitz, but due to anti-German sentiment during the First World War, it was renamed ""American Eskimo Dog"". Although modern American Eskimos have been exported as German Spitz Gross (or Mittel, depending on the dog's height), the breeds have diverged and the standards are significantly different. In addition to serving as a watchdog and companion, the American Eskimo Dog also achieved a high degree of popularity in the United States in the 1930s and 1940s as a circus performer.
There are three size varieties of the American Eskimo breed, the toy, the miniature and the standard. They share a common resemblance with Japanese Spitz, Danish Spitz, Volpino Italiano, German Spitz and Samoyed.

",https://upload.wikimedia.org/wikipedia/commons/f/fe/American_Eskimo_Dog_1.jpg,Eskimo Spitz<br>American Spitz<br>German Spitz,Eskie,"Germany, United States",,,soft<br>dense,white,
24,American Foxhound,"The American Foxhound is a breed of dog that is a cousin of the English Foxhound. They are scent hounds, bred to hunt foxes by scent.

",https://upload.wikimedia.org/wikipedia/commons/e/e7/AmericanFoxhound2.jpg,,Foxhound,United States,{{convert|55|-|71|lb|kg|abbr|=|on}},{{convert|21|-|25|in|cm|abbr|=|on}},"Short, hard","red, tricolor, black and tan, blue",10–12 years
25,American Hairless Terrier,"The American Hairless Terrier is a rare breed of dog that was derived as a variant of Rat Terrier. As of January 1, 2004, the United Kennel Club deemed the AHT a separate terrier breed, granting it full UKC recognition. An intelligent, social and energetic working breed, the American Hairless Terrier is often listed as a potential good breed choice for allergy sufferers.",https://upload.wikimedia.org/wikipedia/commons/b/ba/TagnonPond9-6-03.jpg,,AHT,[[United States]],{{convert|5|-|25|lb|kg|abbr|=|on}},{{convert|7|-|18|in|cm|abbr|=|on}},"hairless, coated variety has a short dense coat",variety of colors and patterns with white,14-16 years
26,American Leopard Hound,The American Leopard Hound is an American breed of hunting dog. It is recognized by the  United Kennel Club (UKC) as a scenthound and is in the American Kennel Club's Foundation Stock Service.,https://upload.wikimedia.org/wikipedia/commons/7/78/Lep2.jpg,,,United States,35-75 pounds,21-27 inches,Short and smooth,"Blue, black, mouse, red, yellow, brindle, with white or other color of spotting",
27,American Pit Bull Terrier,"The American Pit Bull Terrier (APBT) is a purebred dog breed recognized by the United Kennel Club and American Dog Breeders Association, but not the American Kennel Club (AKC). It is a medium-sized, solidly-built, intelligent, short-haired dog, whose early ancestors came from the British Isles. When compared with the English Staffordshire Bull Terrier, the American Pit Bull Terrier is larger by margins of 6–8 inches (15–20 cm) in height and 25–35 pounds (11–16 kg) in weight. The American Pit Bull Terrier varies in size. Males normally are about 18-21 inches (45–53 cm) in height and around 35-60 pounds (15–27 kg) in weight. Females are normally around 17-20 inches (43–50 cm) in height and 30-50 pounds (13–22 kg) in weight.The American Pit Bull is medium-sized and has a short coat and smooth well-defined muscle structure. Its eyes are round to almond-shaped, and its ears are small to medium in length, typically half prick or rose in carriage.  The tail is slightly thick and tapers to a point. The coat is glossy, smooth, short, and stiff to the touch. Any color, color pattern, or combination of colors is acceptable, both the ADBA and UKC do not recognize merle coloring. Color patterns that are typical in the breed are solid and tuxedo.
Despite the legal status of the term ""pit bull"" and its popular concept, some conservative professional breeders of the American Pit Bull Terrier as well as some experts and supporters claim that historically the APBT is the only true ""pit bull"" and the only breed that would be denominated as such.Twelve countries in Europe, as well as Australia, Canada, Ecuador, Malaysia, New Zealand, Puerto Rico, Singapore, and Venezuela,  have enacted some form of breed-specific legislation on pit bull-type dogs, including American Pit Bull Terriers, ranging from outright bans to restrictions and conditions on ownership.  The state of New South Wales in Australia places restrictions on the breed, including mandatory sterilization. The breed is banned in the United Kingdom, in the Canadian province of Ontario, and in many locations in the United States.

",https://upload.wikimedia.org/wikipedia/commons/d/d9/Ginger_December_3579836414e4b5ce786eoPitBull.jpg,"{{flat list|
* Pit Bull
*Pitbull Terrier}}","{{flat list|
*Pit
*APBT}}",United States,{{convert|15.8|-|27.2|kg|lb|abbr|=|on}},{{convert|45|-|53|cm|in|abbr|=|on}},smooth<br />thin<br />single,"Various (except merle).<br />Red, black and buckskin are most common",About 8-15 Years
28,American Staffordshire Terrier,"The American Staffordshire Terrier, also known as the Amstaff (in the United States), is a medium-sized, short-coated American dog breed. In the early part of the twentieth century the breed gained social stature and was accepted by the American Kennel Club in 1936 and should not be confused with the Staffordshire Bull Terrier of the United Kingdom.

",https://upload.wikimedia.org/wikipedia/commons/6/66/AMERICAN_STAFFORDSHIRE_TERRIER%2C_Zican%E2%80%99s_Bz_Ez_Dragon_%2824208348891%29.2.jpg,,{{hlist|AmStaff}},[[The United States of America]],{{convert|50|-|80|lb|kg|abbr|=|on}},{{convert|19|-|23|in|cm|abbr|=|on}},Smooth,"Any color, solid, part or patched<br />(All-white, 80%+ white, black and tan, and liver are not to be encouraged)",
29,American Water Spaniel,"The American Water Spaniel, (often abbreviated to AWS), is a breed of spaniel which originated in the United States. Developed in the state of Wisconsin during the 19th century from a number of other breeds, including the Irish and English Water Spaniels. The breed was saved by Dr. Fred J. Pfeifer, who set up the breed club and standard, and whose work led to recognition for the breed by the United Kennel Club, and later, the American Kennel Club. While they are the state dog of Wisconsin, they remain a rare breed.
They are medium-sized dogs, and have a double layered coat, which comes in a variety of brown related shades. A versatile hunting dog, they are also suitable for apartment life due to work by breeders to develop a breed with an even temperament. The AWS may have been involved in the development of the Boykin Spaniel.",https://upload.wikimedia.org/wikipedia/commons/5/5a/Chien_d%27eau_americain_champion_1.JPG,"American Brown Spaniel, American Brown Water Spaniel",AWS,United States,{{convert|25|-|40|lb|kg|abbr|=|on}},{{convert|15|-|18|in|cm}},"Double coated, curly exterior layer",Shades of brown,10&ndash;12
30,Anatolian Shepherd Dog,"The Anatolian Shepherd Dog (Turkish: Anadolu çoban köpeği) is a breed of dog that originated in the Anatolia region of central Turkey. It is rugged, large, and very strong, with good sight and hearing that allow it to protect livestock. With its high speed and agility, it is able to run down a predator with great efficiency. Historically, it has been treated as a separate breed from the Kangal Shepherd Dog by many canine registries, but is now generally treated as part of the same breed population.

",https://upload.wikimedia.org/wikipedia/commons/5/51/Varish.jpg,"Karabaş (Blackhead), Anatolian Karabash (Anadolulu Karabaş), Turkish Shepherd Dog, Kangal",,[[Turkey]],{{convert|50|-|65|kg|abbr|=|on}},{{convert|74|-|81|cm|abbr|=|on}},"short, rough",,13-15 years
31,Andalusian Hound,"The Andalusian Hound (Spanish: Podenco andaluz) is a dog breed originating in Spain, especially Andalusia. These dogs are similar to other Iberian breeds such as the Ibizan Hound, the Portuguese Podengo, the Podenco Canario and the Maneto. In the Iberian Peninsula there are cave paintings representing dogs with a strong resemblance to these races. Dogs very similar to these, including the Cirneco dell'Etna and Pharaoh Hound, have been bred in much of the Mediterranean basin since ancient times. Despite the widespread belief that the podencos were introduced into Spain some 3,000 years ago by the Phoenicians, recent genetic studies have concluded that these dogs actually have a close genetic relationship with other European hunting dogs and are no more ""primitive"" than the others.",https://upload.wikimedia.org/wikipedia/commons/c/c1/Podenco_chico_resized.jpg,Andalusian Hound<br>Andalusian Podenco,,[[Andalusia]] ([[Spain]]),Small: {{convert|5|–|11|kg|abbr|=|on}} <br>Medium: {{convert|10|–|22|kg|abbr|=|on}} <br>Large: {{convert|21|–|33|kg|abbr|=|on}},Small: {{convert|35|–|42|cm|abbr|=|on}} ; Medium: {{convert|43|–|53|cm|abbr|=|on}} ; Large: {{convert|54|–|64|cm|abbr|=|on}} at the [[withers]],,,
32,Anglo-Français de Petite Vénerie,"The Anglo-Français de Petite Vénerie is a medium-sized breed of dog used in hunting as a scenthound, usually in packs. It is one of the Anglo-French hound breeds which were created by crossing French scenthounds with English (Anglo) foxhounds. The name Petite Vénerie does not mean that dogs of the breed are petite or small, but rather that it is used to hunt small game.

",https://upload.wikimedia.org/wikipedia/commons/3/31/Anglo-Fran%C3%A7ais_de_petite_v%C3%A9nerie.jpg,,,[[France]],,{{convert|48|-|56|cm|in|0|abbr|=|on}},"short, dense and smooth",,
33,Appenzeller Sennenhund,"The Appenzeller Sennenhund is a medium-size breed of dog, one of the four regional breeds of Sennenhund-type dogs from the Swiss Alps. The name Sennenhund refers to people called Senn, herders in the Appenzell region of Switzerland.",https://upload.wikimedia.org/wikipedia/commons/9/9e/Dara_essy.jpg,Appenzeller<br>Appenzeller Cattle Dog<br>Appenzeller Mountain Dog,,[[Switzerland]],,{{convert|52|-|56|cm|in|0|abbr|=|on}},,,
34,Argentine Pila Dog,"The Argentine Pila Dog (similar to the Bolivian Khala or Hairless Khala) is a hairless breed characteristically found in the northwestern provinces of Argentina. It is a companion dog, ranging in size from approximately 25 cm (10 inches) at the shoulder to 45 cm (18 inches).",https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png,,,,,,,,
35,Argentine Polar Dog,"The Argentine Polar Dog (Spanish: perro polar argentino) was an Argentinian breed of dog that is now extinct. Argentina polar dogs were developed by the Argentine Army for the purpose of equipping their Antarctica bases with sled dogs. The breed was a result of crossbreeding between a Siberian Husky, a Greenland dog, an Alaskan Malamute and a Manchurian Spitz. However, the breed went extinct in 1994 due to it being moved out of Antarctica in compliance with the Protocol on Environmental Protection to the Antarctic Treaty (PEPAT).",https://user-images.githubusercontent.com/24848110/33519396-7e56363c-d79d-11e7-969b-09782f5ccbab.png,Perro polar argentino,,,60 kilograms (132 lbs),,,,
36,Ariegeois,"The Ariegeois is a breed of dog from the département of Ariège in the Midi-Pyrenées region of southern France. It is a medium-sized pack-hunting scenthound deriving from crossing of Grand Bleu de Gascogne and Grand Gascon-Saintongeois hounds with local Briquet dogs. It is used both as a courser and for driving game to waiting guns. While most successful with hares, it is also used for hunting deer and boar. It is distinguished by its friendly nature with other hounds and affection for human companions.
This breed originated in France in 1912, making it a fairly new breed. It is not yet well known outside its own region. The breed is registered with the Fédération Cynologique Internationale.",https://upload.wikimedia.org/wikipedia/commons/b/b0/Ariegeois.jpg,Ariege Hound,,[[France]],,{{convert|52|-|58|cm|in|0|abbr|=|on}},"short, fine and dense",,
